dataset, algorithm, per.train, train.time, train.acc, test.acc
covertype, RF, 20, 16.05, 99.9935, 92.611
covertype, RF, 40, 32.98, 99.9941, 94.8141
covertype, RF, 60, 50.05, 99.9964, 95.8184
covertype, RF, 80, 69.84, 99.9954, 96.3339
covertype, RF, 100, 93.01, 99.9983, 96.7702
covertype, J48, 20, 12, 96.3921, 87.8494
covertype, J48, 40, 30.3, 97.7572, 91.1566
covertype, J48, 60, 61.09, 98.2534, 92.815
covertype, J48, 80, 108.84, 98.522, 93.6979
covertype, J48, 100, 130.39, 98.7092, 94.4673
kddcup, RF, 20, 110.71, 99.9999, 99.9909
kddcup, RF, 40, 244.92, 99.9998, 99.9934
kddcup, RF, 60, 362.33, 99.9999, 99.9941
kddcup, RF, 80, 680.16, 99.9998, 99.995
kddcup, RF, 100, 920.44, 99.9997, 99.9956
kddcup, J48, 20, 46.22, 99.9915, 99.9821
kddcup, J48, 40, 100.85, 99.9943, 99.9883
kddcup, J48, 60, 176.34, 99.9949, 99.9895
kddcup, J48, 80, 383.98, 99.9959, 99.9914
kddcup, J48, 100, 523.17, 99.9967, 99.9929
protein, RF, 20, 23.27, 99.9788, 79.7699
protein, RF, 40, 51.79, 99.9819, 80.1199
protein, RF, 60, 84.38, 99.9821, 80.4864
protein, RF, 80, 126.86, 99.9817, 80.7054
protein, RF, 100, 155.67, 99.9836, 80.9169
protein, J48, 20, 31.69, 86.74, 77.6864
protein, J48, 40, 131.82, 86.89, 78.0069
protein, J48, 60, 315.34, 87.0554, 78.1179
protein, J48, 80, 473, 87.0181, 78.3539
protein, J48, 100, 690.56, 87.1009, 78.1604
pokerhand, RF, 20, 24.68, 99.9939, 54.981
pokerhand, RF, 40, 60.27, 99.9957, 59.2869
pokerhand, RF, 60, 104.05, 99.9982, 61.606
pokerhand, RF, 80, 139.21, 99.9957, 61.9616
pokerhand, RF, 100, 178.17, 99.9962, 62.9918
pokerhand, J48, 20, 49.31, 75.1479, 61.5162
pokerhand, J48, 40, 189.5, 76.488, 66.7367
pokerhand, J48, 60, 398.14, 75.3603, 64.9401
pokerhand, J48, 80, 835.26, 76.0268, 65.0894
pokerhand, J48, 100, 1446.76, 76.0282, 66.0865